CMPLNT_FR_DT	CMPLNT_FR_TM	PD_DESC	LAW_CAT_CD	BORO_NM	ADDR_PCT_CD	PREM_TYP_DESC	Latitude	Longitude
12/28/16	0:40:00	"ASSAULT 2,1,UNCLASSIFIED"	FELONY	MANHATTAN	23	PARK/PLAYGROUND	40.79330094	-73.948765
12/28/16	0:30:00	"ASSAULT 2,1,UNCLASSIFIED"	FELONY	BRONX	49	RESIDENCE-HOUSE	40.86859466	-73.85568125
12/28/16	0:25:00	"CONTROLLED SUBSTANCE, POSSESSI"	MISDEMEANOR	QUEENS	102	OTHER	40.70893198	-73.83615268
12/28/16	0:25:00	"HARASSMENT,SUBD 3,4,5"	VIOLATION	BROOKLYN	75	RESIDENCE - APT. HOUSE	40.66204973	-73.89625234
12/28/16	0:25:00	"LARCENY,PETIT FROM BUILDING,UN"	MISDEMEANOR	MANHATTAN	18	CLOTHING/BOUTIQUE	40.75889507	-73.98483735
12/28/16	0:20:00	"ROBBERY,BICYCLE"	FELONY	QUEENS	110	COMMERCIAL BUILDING	40.74683001	-73.85326354
12/28/16	0:15:00	ASSAULT 3	MISDEMEANOR	BRONX	40	STREET	40.81278338	-73.90923937
12/28/16	0:15:00	"ROBBERY,OPEN AREA UNCLASSIFIED"	FELONY	BROOKLYN	71	TRANSIT - NYC SUBWAY	40.6631334	-73.96243216
12/28/16	0:15:00	"LARCENY,GRAND OF AUTO"	FELONY	BROOKLYN	75	STREET	40.67872992	-73.8719014
12/28/16	0:15:00	"LARCENY,GRAND FROM NIGHT CLUB, UNATTENDED"	FELONY	MANHATTAN	13	BAR/NIGHT CLUB	40.74430732	-73.99021785
12/28/16	0:13:00	"CRIMINAL MISCHIEF,UNCLASSIFIED 4"	MISDEMEANOR	MANHATTAN	32	RESIDENCE - APT. HOUSE	40.81311085	-73.94542256
12/28/16	0:12:00	"MARIJUANA, POSSESSION 4 & 5"	MISDEMEANOR	BRONX	49	PARK/PLAYGROUND	40.85820487	-73.87097732
12/28/16	0:10:00	ASSAULT 3	MISDEMEANOR	BROOKLYN	71	RESIDENCE - APT. HOUSE	40.66119092	-73.9338327
12/28/16	0:10:00	"LARCENY,GRAND OF BICYCLE"	FELONY	MANHATTAN	23	STREET	40.79381976	-73.94304754
12/28/16	0:05:00	CRIMINAL CONTEMPT 1	FELONY	BRONX	48	RESIDENCE - APT. HOUSE	40.85094406	-73.89724092
12/28/16	0:05:00	"WEAPONS, POSSESSION, ETC"	MISDEMEANOR	MANHATTAN	14	TRANSIT - NYC SUBWAY	40.7521987	-73.99346505
